"frogger.ac" 0.0,0.0,0.0,0.0,0.0,0.0
MUSIC "mods/crazy_s.mod"
TUX 0,0,0.0
CAMERA 180,60,25,0
SQUISH_PAIN 10
SKY 0.0,0.0,0.0
"truck1.ac" 100.0,6.0,0.0,0.0,0.0,0.0
"truck2.ac" 100.0,6.0,0.0,0.0,0.0,0.0
"truck3.ac" 100.0,6.0,0.0,0.0,0.0,0.0
"truck4.ac" 100.0,6.0,0.0,0.0,0.0,0.0
"truck1a.ac" -100.0,15.0,0.0,0.0,0.0,0.0
"truck2a.ac" -100.0,15.0,0.0,0.0,0.0,0.0
"truck3a.ac" -100.0,15.0,0.0,0.0,0.0,0.0
"truck4a.ac" -100.0,15.0,0.0,0.0,0.0,0.0
"truck1b.ac" 100.0,24.0,0.0,0.0,0.0,0.0
"truck2b.ac" 100.0,24.0,0.0,0.0,0.0,0.0
"truck1c.ac" -100.0,34.0,0.0,0.0,0.0,0.0
"truck2c.ac" -100.0,34.0,0.0,0.0,0.0,0.0
"truck1d.ac" 100.0,43.0,0.0,0.0,0.0,0.0
"truck2d.ac" 100.0,43.0,0.0,0.0,0.0,0.0
"log1.ac" 100.0,63.0,0.0,0.0,0.0,0.0
"log2.ac" -100.0,71.0,0.0,0.0,0.0,0.0
"log3.ac" 100.0,79.0,0.0,0.0,0.0,0.0
"log4.ac" -100.0,86.0,0.0,0.0,0.0,0.0
"log1.ac" 100.0,93.0,0.0,0.0,0.0,0.0
EXIT -13.0,104.0,9999
YHERRING  1.6,104.0
YHERRING 78.8,104.0

